long,lat,Nationality,Code,Date,Female,Male,Child-Female,Child-Male
67.709953,33.93911,Afghanistan,AF,2011-11-30T00:00:00Z,14,1082,6,103
113.921327,-0.789275,Indonesia,ID,2011-11-30T00:00:00Z,2,345,,36
80.771797,7.873054,Sri Lanka,LK,2011-11-30T00:00:00Z,7,342,3,3
43.679291,33.223191,Iraq,IQ,2011-11-30T00:00:00Z,5,190,4,18
79.8714212,6.9044087,Peoples Republic Of China,CN,2011-11-30T00:00:00Z,40,99,,
69.345116,30.375321,Pakistan,PK,2011-11-30T00:00:00Z,2,102,,8
108.277199,14.058324,Vietnam,VN,2011-11-30T00:00:00Z,13,43,11,20
95.956223,21.913965,Burma,MM,2011-11-30T00:00:00Z,,45,,1
35.2,31.8833,Palestinian Authority,PS,2011-11-30T00:00:00Z,4,11,11,5
,,Other,,2011-11-30T00:00:00Z,68,453,15,33
67.709953,33.93911,Afghanistan,AF,2011-10-31T00:00:00Z,14,1119,4,109
53.688046,32.427908,Iran,IR,2011-10-31T00:00:00Z,134,849,43,69
80.771797,7.873054,Sri Lanka,LK,2011-10-31T00:00:00Z,11,402,7,4
113.921327,-0.789275,Indonesia,ID,2011-10-31T00:00:00Z,2,342,,32
43.679291,33.223191,Iraq,IQ,2011-10-31T00:00:00Z,8,170,3,11
79.8714212,6.9044087,Peoples Republic Of China,CN,2011-10-31T00:00:00Z,44,100,,
69.345116,30.375321,Pakistan,PK,2011-10-31T00:00:00Z,3,82,1,7
108.277199,14.058324,Vietnam,VN,2011-10-31T00:00:00Z,8,36,19,27
95.956223,21.913965,Burma,MM,2011-10-31T00:00:00Z,,47,,1
38.996815,34.802075,Syria,SY,2011-10-31T00:00:00Z,,21,,1
,,Other,,2011-10-31T00:00:00Z,48,413,9,23
67.709953,33.93911,Afghanistan,AF,2011-09-30T00:00:00Z,13,1250,4,155
53.688046,32.427908,Iran,IR,2011-09-30T00:00:00Z,119,821,40,67
80.771797,7.873054,Sri Lanka,LK,2011-09-30T00:00:00Z,17,429,14,14
113.921327,-0.789275,Indonesia,ID,2011-09-30T00:00:00Z,1,350,0,37
43.679291,33.223191,Iraq,IQ,2011-09-30T00:00:00Z,7,174,2,6
79.8714212,6.9044087,Peoples Republic Of China,CN,2011-09-30T00:00:00Z,37,111,0,0
108.277199,14.058324,Vietnam,VN,2011-09-30T00:00:00Z,8,47,20,26
69.345116,30.375321,Pakistan,PK,2011-09-30T00:00:00Z,3,79,0,6
95.956223,21.913965,Burma,MM,2011-09-30T00:00:00Z,0,33,0,1
35.2,31.8833,Palestinian Authority,PS,2011-09-30T00:00:00Z,3,9,11,6
,,Other,,2011-09-30T00:00:00Z,44,451,7,24
67.709953,33.93911,Afghanistan,AF,2011-07-31T00:00:00Z,26,1411,8,179
53.688046,32.427908,Iran,IR,2011-07-31T00:00:00Z,240,948,100,146
