original-location,ourlocation,date,men,women,children
Sydney Immigration Residential Housing,Sydney IRH,2011-10-31T00:00:00Z,9,3,5
Adelaide Immigration Transit Accommodation,Adelaide ITA,2011-10-31T00:00:00Z,2,6,1
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-10-31T00:00:00Z,65,,
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-10-31T00:00:00Z,74,,2
Alternative Places of Detention (Christmas Island),,2011-10-31T00:00:00Z,61,52,128
Alternative Places of Detention (Mainland),,2011-10-31T00:00:00Z,520,141,198
People in Community under Residence Determination,,2011-10-31T00:00:00Z,410,309,512
Christmas Island IDC,north west point immigration facility,2011-09-30T00:00:00Z,649,,
Curtin IDC,Curtin IDC,2011-09-30T00:00:00Z,1060,,
Maribyrnong IDC,Maribyrnong IDC,2011-09-30T00:00:00Z,98,3,
Northern IDC (Darwin),Northern IDC,2011-09-30T00:00:00Z,415,,
Perth IDC,Perth IDC,2011-09-30T00:00:00Z,24,1,
Pontville IDC,Pontville IDC,2011-09-30T00:00:00Z,76,,
Scherger IDC,Scherger IDC,2011-09-30T00:00:00Z,333,,
Villawood IDC,Villawood IDC,2011-09-30T00:00:00Z,355,52,
Perth Immigration Residential Housing,Perth IRH,2011-09-30T00:00:00Z,4,1,2
Port Augusta Immigration Residential Housing,Port Augusta IRH,2011-09-30T00:00:00Z,2,1,35
Sydney Immigration Residential Housing,Sydney IRH,2011-09-30T00:00:00Z,4,3,5
Adelaide Immigration Transit Accommodation,Adelaide ITA,2011-09-30T00:00:00Z,5,8,
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-09-30T00:00:00Z,56,,
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-09-30T00:00:00Z,71,,2
Alternative Places of Detention (Christmas Island),,2011-09-30T00:00:00Z,66,59,111
Alternative Places of Detention (Mainland),,2011-09-30T00:00:00Z,536,124,285
People in Community under Residence Determination,,2011-09-30T00:00:00Z,396,309,446
Christmas Island IDC,north west point immigration facility,2011-07-31T00:00:00Z,553,,
Curtin IDC,Curtin IDC,2011-07-31T00:00:00Z,1341,,
Maribyrnong IDC,Maribyrnong IDC,2011-07-31T00:00:00Z,94,1,
Northern IDC (Darwin),Northern IDC,2011-07-31T00:00:00Z,443,,
Perth IDC,Perth IDC,2011-07-31T00:00:00Z,42,,
Scherger IDC,Scherger IDC,2011-07-31T00:00:00Z,466,,
Villawood IDC,Villawood IDC,2011-07-31T00:00:00Z,304,45,
