original-location,ourlocation,date,men,women,children
Perth Immigration Residential Housing,Perth IRH,2010-10-29T00:00:00Z,3,3,6
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-10-29T00:00:00Z,19,17,23
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-10-29T00:00:00Z,21,14,17
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-10-29T00:00:00Z,1,,41
Community Detention (Mainland),,2010-10-29T00:00:00Z,10,1,6
Community Detention (Christmas Island),,2010-10-29T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-10-29T00:00:00Z,189,162,349
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-10-29T00:00:00Z,293,148,341
Villawood IDC,Villawood IDC,2010-10-22T00:00:00Z,313,22,
Northern IDC (Darwin),Northern IDC,2010-10-22T00:00:00Z,478,,
Maribyrnong IDC,Maribyrnong IDC,2010-10-22T00:00:00Z,55,12,
Perth IDC,Perth IDC,2010-10-22T00:00:00Z,48,,
Christmas Island IDC,north west point immigration facility,2010-10-22T00:00:00Z,2027,,
Curtin IDC,Curtin IDC,2010-10-22T00:00:00Z,747,,
Scherger IDC,Scherger IDC,2010-10-22T00:00:00Z,79,,
Sydney Immigration Residential Housing,Sydney IRH,2010-10-22T00:00:00Z,14,9,15
Perth Immigration Residential Housing,Perth IRH,2010-10-22T00:00:00Z,4,4,9
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-10-22T00:00:00Z,18,16,23
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-10-22T00:00:00Z,20,15,18
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-10-22T00:00:00Z,1,,42
Community Detention (Mainland),,2010-10-22T00:00:00Z,11,2,11
Community Detention (Christmas Island),,2010-10-22T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-10-22T00:00:00Z,185,166,357
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-10-22T00:00:00Z,307,128,297
Villawood IDC,Villawood IDC,2010-10-15T00:00:00Z,300,23,
Northern IDC (Darwin),Northern IDC,2010-10-15T00:00:00Z,469,,
Maribyrnong IDC,Maribyrnong IDC,2010-10-15T00:00:00Z,58,12,
Perth IDC,Perth IDC,2010-10-15T00:00:00Z,48,,
Christmas Island IDC,north west point immigration facility,2010-10-15T00:00:00Z,2073,,
Curtin IDC,Curtin IDC,2010-10-15T00:00:00Z,749,,
Sydney Immigration Residential Housing,Sydney IRH,2010-10-15T00:00:00Z,14,8,14
Perth Immigration Residential Housing,Perth IRH,2010-10-15T00:00:00Z,4,4,9
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-10-15T00:00:00Z,18,16,24
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-10-15T00:00:00Z,18,11,16
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-10-15T00:00:00Z,1,,42
Community Detention (Mainland),,2010-10-15T00:00:00Z,11,2,10
Community Detention (Christmas Island),,2010-10-15T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-10-15T00:00:00Z,186,169,354
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-10-15T00:00:00Z,299,114,283
Villawood IDC,Villawood IDC,2010-10-08T00:00:00Z,292,24,
Northern IDC (Darwin),Northern IDC,2010-10-08T00:00:00Z,366,,
Maribyrnong IDC,Maribyrnong IDC,2010-10-08T00:00:00Z,59,14,
Perth IDC,Perth IDC,2010-10-08T00:00:00Z,49,,
Christmas Island IDC,north west point immigration facility,2010-10-08T00:00:00Z,1994,,
Curtin IDC,Curtin IDC,2010-10-08T00:00:00Z,751,,
Sydney Immigration Residential Housing,Sydney IRH,2010-10-08T00:00:00Z,15,8,16
Perth Immigration Residential Housing,Perth IRH,2010-10-08T00:00:00Z,4,4,10
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-10-08T00:00:00Z,18,18,25
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-10-08T00:00:00Z,20,13,19
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-10-08T00:00:00Z,1,,42
Community Detention (Mainland),,2010-10-08T00:00:00Z,11,2,10
Community Detention (Christmas Island),,2010-10-08T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-10-08T00:00:00Z,175,164,350
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-10-08T00:00:00Z,320,87,229
Villawood IDC,Villawood IDC,2010-09-30T00:00:00Z,287,22,
Northern IDC (Darwin),Northern IDC,2010-09-30T00:00:00Z,367,,
Maribyrnong IDC,Maribyrnong IDC,2010-09-30T00:00:00Z,78,18,
Perth IDC,Perth IDC,2010-09-30T00:00:00Z,42,1,
Christmas Island IDC,north west point immigration facility,2010-09-30T00:00:00Z,1925,,
Curtin IDC,Curtin IDC,2010-09-30T00:00:00Z,752,,
Sydney Immigration Residential Housing,Sydney IRH,2010-09-30T00:00:00Z,15,8,16
Perth Immigration Residential Housing,Perth IRH,2010-09-30T00:00:00Z,4,4,8
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-09-30T00:00:00Z,18,18,25
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-09-30T00:00:00Z,13,13,18
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-09-30T00:00:00Z,1,,44
Community Detention (Mainland),,2010-09-30T00:00:00Z,12,3,12
Community Detention (Christmas Island),,2010-09-30T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-09-30T00:00:00Z,191,164,353
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-09-30T00:00:00Z,290,68,201
Villawood IDC,Villawood IDC,2010-09-10T00:00:00Z,278,24,
Northern IDC (Darwin),Northern IDC,2010-09-10T00:00:00Z,458,,
Maribyrnong IDC,Maribyrnong IDC,2010-09-10T00:00:00Z,58,8,
Perth IDC,Perth IDC,2010-09-10T00:00:00Z,43,1,
Christmas Island IDC,north west point immigration facility,2010-09-10T00:00:00Z,1893,,
Curtin IDC,Curtin IDC,2010-09-10T00:00:00Z,681,,
Sydney Immigration Residential Housing,Sydney IRH,2010-09-10T00:00:00Z,13,7,10
Perth Immigration Residential Housing,Perth IRH,2010-09-10T00:00:00Z,4,3,8
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-09-10T00:00:00Z,16,14,27
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-09-10T00:00:00Z,21,12,19
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-09-10T00:00:00Z,,,43
Community Detention (Mainland),,2010-09-10T00:00:00Z,12,3,10
Community Detention (Christmas Island),,2010-09-10T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-09-10T00:00:00Z,162,141,342
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-09-10T00:00:00Z,301,80,196
Villawood IDC,Villawood IDC,2010-08-27T00:00:00Z,267,25,
Northern IDC (Darwin),Northern IDC,2010-08-27T00:00:00Z,486,,
Maribyrnong IDC,Maribyrnong IDC,2010-08-27T00:00:00Z,49,6,
Perth IDC,Perth IDC,2010-08-27T00:00:00Z,53,4,
Christmas Island IDC,north west point immigration facility,2010-08-27T00:00:00Z,1854,,
Curtin IDC,Curtin IDC,2010-08-27T00:00:00Z,600,,
Sydney Immigration Residential Housing,Sydney IRH,2010-08-27T00:00:00Z,12,7,10
Perth Immigration Residential Housing,Perth IRH,2010-08-27T00:00:00Z,4,4,9
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-08-27T00:00:00Z,4,5,32
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-08-27T00:00:00Z,21,14,20
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-08-27T00:00:00Z,,,40
Community Detention (Mainland),,2010-08-27T00:00:00Z,12,3,10
Community Detention (Christmas Island),,2010-08-27T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-08-27T00:00:00Z,139,138,317
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-08-27T00:00:00Z,276,59,190
Villawood IDC,Villawood IDC,2010-08-13T00:00:00Z,255,17,
Northern IDC (Darwin),Northern IDC,2010-08-13T00:00:00Z,486,,
Maribyrnong IDC,Maribyrnong IDC,2010-08-13T00:00:00Z,40,8,
Perth IDC,Perth IDC,2010-08-13T00:00:00Z,50,4,
Christmas Island IDC,north west point immigration facility,2010-08-13T00:00:00Z,1861,,
Curtin IDC,Curtin IDC,2010-08-13T00:00:00Z,552,,
Sydney Immigration Residential Housing,Sydney IRH,2010-08-13T00:00:00Z,12,8,10
Perth Immigration Residential Housing,Perth IRH,2010-08-13T00:00:00Z,2,2,6
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-08-13T00:00:00Z,,,49
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-08-13T00:00:00Z,20,11,17
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-08-13T00:00:00Z,1,,37
Community Detention (Mainland),,2010-08-13T00:00:00Z,12,3,10
Community Detention (Christmas Island),,2010-08-13T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-08-13T00:00:00Z,138,135,326
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-08-13T00:00:00Z,284,68,195
Villawood IDC,Villawood IDC,2010-07-30T00:00:00Z,259,12,
Northern IDC (Darwin),Northern IDC,2010-07-30T00:00:00Z,498,,
Maribyrnong IDC,Maribyrnong IDC,2010-07-30T00:00:00Z,53,9,
Perth IDC,Perth IDC,2010-07-30T00:00:00Z,48,2,
Christmas Island IDC,north west point immigration facility,2010-07-30T00:00:00Z,1913,,
Curtin IDC,Curtin IDC,2010-07-30T00:00:00Z,459,,
Sydney Immigration Residential Housing,Sydney IRH,2010-07-30T00:00:00Z,10,7,9
Perth Immigration Residential Housing,Perth IRH,2010-07-30T00:00:00Z,3,3,9
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-07-30T00:00:00Z,,,51
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-07-30T00:00:00Z,20,11,18
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-07-30T00:00:00Z,1,,40
Community Detention (Mainland),,2010-07-30T00:00:00Z,12,3,10
Community Detention (Christmas Island),,2010-07-30T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-07-30T00:00:00Z,137,134,320
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-07-30T00:00:00Z,299,73,217
Villawood IDC,Villawood IDC,2010-06-25T00:00:00Z,218,16,
Northern IDC (Darwin),Northern IDC,2010-06-25T00:00:00Z,459,,
Maribyrnong IDC,Maribyrnong IDC,2010-06-25T00:00:00Z,49,13,
Perth IDC,Perth IDC,2010-06-25T00:00:00Z,42,,
Christmas Island IDC,north west point immigration facility,2010-06-25T00:00:00Z,1824,,
Curtin IDC,Curtin IDC,2010-06-25T00:00:00Z,306,,
Sydney Immigration Residential Housing,Sydney IRH,2010-06-25T00:00:00Z,17,8,11
Perth Immigration Residential Housing,Perth IRH,2010-06-25T00:00:00Z,3,3,8
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-06-25T00:00:00Z,,,56
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-06-25T00:00:00Z,9,12,18
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-06-25T00:00:00Z,3,,38
Community Detention (Mainland),,2010-06-25T00:00:00Z,12,2,8
Community Detention (Christmas Island),,2010-06-25T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-06-25T00:00:00Z,98,96,157
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-06-25T00:00:00Z,296,64,270
Villawood IDC,Villawood IDC,2010-06-18T00:00:00Z,220,13,
Northern IDC (Darwin),Northern IDC,2010-06-18T00:00:00Z,502,27,
Maribyrnong IDC,Maribyrnong IDC,2010-06-18T00:00:00Z,50,12,
Perth IDC,Perth IDC,2010-06-18T00:00:00Z,50,3,
Christmas Island IDC,north west point immigration facility,2010-06-18T00:00:00Z,1921,1,
Curtin IDC,Curtin IDC,2010-06-18T00:00:00Z,189,,
Sydney Immigration Residential Housing,Sydney IRH,2010-06-18T00:00:00Z,18,8,11
Perth Immigration Residential Housing,Perth IRH,2010-06-18T00:00:00Z,2,3,11
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-06-18T00:00:00Z,,,56
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-06-18T00:00:00Z,11,13,20
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-06-18T00:00:00Z,3,,38
Community Detention (Mainland),,2010-06-18T00:00:00Z,11,2,8
Community Detention (Christmas Island),,2010-06-18T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-06-18T00:00:00Z,51,58,158
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-06-18T00:00:00Z,275,65,259
Villawood IDC,Villawood IDC,2010-06-04T00:00:00Z,237,18,
Northern IDC (Darwin),Northern IDC,2010-06-04T00:00:00Z,517,28,
Maribyrnong IDC,Maribyrnong IDC,2010-06-04T00:00:00Z,55,17,
Perth IDC,Perth IDC,2010-06-04T00:00:00Z,48,4,
Christmas Island IDC,north west point immigration facility,2010-06-04T00:00:00Z,1870,,
Sydney Immigration Residential Housing,Sydney IRH,2010-06-04T00:00:00Z,16,5,7
Perth Immigration Residential Housing,Perth IRH,2010-06-04T00:00:00Z,2,3,12
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-06-04T00:00:00Z,,,59
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-06-04T00:00:00Z,12,13,20
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-06-04T00:00:00Z,3,,38
Community Detention (Mainland),,2010-06-04T00:00:00Z,11,2,8
Community Detention (Christmas Island),,2010-06-04T00:00:00Z,1,1,1
Alternative Temporary Detention in the Community (Mainland),,2010-06-04T00:00:00Z,39,34,113
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-06-04T00:00:00Z,249,65,240
Villawood IDC,Villawood IDC,2010-05-28T00:00:00Z,246,20,
Northern IDC (Darwin),Northern IDC,2010-05-28T00:00:00Z,493,19,
Maribyrnong IDC,Maribyrnong IDC,2010-05-28T00:00:00Z,50,17,
Perth IDC,Perth IDC,2010-05-28T00:00:00Z,36,1,
Christmas Island IDC,north west point immigration facility,2010-05-28T00:00:00Z,1833,,
Sydney Immigration Residential Housing,Sydney IRH,2010-05-28T00:00:00Z,15,4,6
Perth Immigration Residential Housing,Perth IRH,2010-05-28T00:00:00Z,2,4,12
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-05-28T00:00:00Z,,,59
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-05-28T00:00:00Z,16,15,28
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-05-28T00:00:00Z,3,,36
Community Detention (Mainland),,2010-05-28T00:00:00Z,11,2,8
Community Detention (Christmas Island),,2010-05-28T00:00:00Z,1,1,1
Alternative Temporary Detention in the Community (Mainland),,2010-05-28T00:00:00Z,77,35,100
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-05-28T00:00:00Z,258,75,248
Villawood IDC,Villawood IDC,2010-05-21T00:00:00Z,245,20,
Northern IDC (Darwin),Northern IDC,2010-05-21T00:00:00Z,472,,
Maribyrnong IDC,Maribyrnong IDC,2010-05-21T00:00:00Z,60,16,
Perth IDC,Perth IDC,2010-05-21T00:00:00Z,44,2,
Christmas Island IDC,north west point immigration facility,2010-05-21T00:00:00Z,1771,,
Sydney Immigration Residential Housing,Sydney IRH,2010-05-21T00:00:00Z,15,4,6
Perth Immigration Residential Housing,Perth IRH,2010-05-21T00:00:00Z,2,4,12
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-05-21T00:00:00Z,,,60
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-05-21T00:00:00Z,13,16,27
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-05-21T00:00:00Z,5,,35
Community Detention (Mainland),,2010-05-21T00:00:00Z,11,2,8
Community Detention (Christmas Island),,2010-05-21T00:00:00Z,1,1,1
Alternative Temporary Detention in the Community (Mainland),,2010-05-21T00:00:00Z,54,53,97
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-05-21T00:00:00Z,274,75,206
Villawood IDC,Villawood IDC,2010-05-14T00:00:00Z,242,22,
Northern IDC (Darwin),Northern IDC,2010-05-14T00:00:00Z,416,,
Maribyrnong IDC,Maribyrnong IDC,2010-05-14T00:00:00Z,49,17,
Perth IDC,Perth IDC,2010-05-14T00:00:00Z,43,2,
Christmas Island IDC,north west point immigration facility,2010-05-14T00:00:00Z,1723,,
Sydney Immigration Residential Housing,Sydney IRH,2010-05-14T00:00:00Z,15,4,6
Perth Immigration Residential Housing,Perth IRH,2010-05-14T00:00:00Z,2,4,12
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-05-14T00:00:00Z,,,60
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-05-14T00:00:00Z,13,16,25
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-05-14T00:00:00Z,9,1,41
Community Detention (Mainland),,2010-05-14T00:00:00Z,10,1,4
Community Detention (Christmas Island),,2010-05-14T00:00:00Z,1,1,1
Alternative Temporary Detention in the Community (Mainland),,2010-05-14T00:00:00Z,53,34,78
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-05-14T00:00:00Z,276,90,200
Villawood IDC,Villawood IDC,2010-05-07T00:00:00Z,238,22,
Northern IDC (Darwin),Northern IDC,2010-05-07T00:00:00Z,413,,
Maribyrnong IDC,Maribyrnong IDC,2010-05-07T00:00:00Z,47,18,
Perth IDC,Perth IDC,2010-05-07T00:00:00Z,41,,
Christmas Island IDC,north west point immigration facility,2010-05-07T00:00:00Z,1549,,
Sydney Immigration Residential Housing,Sydney IRH,2010-05-07T00:00:00Z,15,3,5
Perth Immigration Residential Housing,Perth IRH,2010-05-07T00:00:00Z,2,4,12
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-05-07T00:00:00Z,,,60
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-05-07T00:00:00Z,14,15,26
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-05-07T00:00:00Z,8,1,44
Community Detention (Mainland),,2010-05-07T00:00:00Z,10,1,4
Community Detention (Christmas Island),,2010-05-07T00:00:00Z,1,1,1
Alternative Temporary Detention in the Community (Mainland),,2010-05-07T00:00:00Z,43,22,58
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-05-07T00:00:00Z,273,82,176
Villawood IDC,Villawood IDC,2010-04-23T00:00:00Z,244,22,
Northern IDC (Darwin),Northern IDC,2010-04-23T00:00:00Z,349,,
Maribyrnong IDC,Maribyrnong IDC,2010-04-23T00:00:00Z,48,15,
Perth IDC,Perth IDC,2010-04-23T00:00:00Z,44,,
Christmas Island IDC,north west point immigration facility,2010-04-23T00:00:00Z,1464,,
Sydney Immigration Residential Housing,Sydney IRH,2010-04-23T00:00:00Z,14,3,5
Perth Immigration Residential Housing,Perth IRH,2010-04-23T00:00:00Z,2,4,12
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-04-23T00:00:00Z,,,60
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-04-23T00:00:00Z,16,20,28
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-04-23T00:00:00Z,7,1,46
Community Detention (Mainland),,2010-04-23T00:00:00Z,10,1,4
Community Detention (Christmas Island),,2010-04-23T00:00:00Z,2,1,3
Alternative Temporary Detention in the Community (Mainland),,2010-04-23T00:00:00Z,26,,20
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-04-23T00:00:00Z,274,95,164
Villawood IDC,Villawood IDC,2010-04-16T00:00:00Z,246,21,
Northern IDC (Darwin),Northern IDC,2010-04-16T00:00:00Z,86,,
Maribyrnong IDC,Maribyrnong IDC,2010-04-16T00:00:00Z,43,15,
Perth IDC,Perth IDC,2010-04-16T00:00:00Z,50,2,
Christmas Island IDC,north west point immigration facility,2010-04-16T00:00:00Z,1697,,
Sydney Immigration Residential Housing,Sydney IRH,2010-04-16T00:00:00Z,14,2,4
Perth Immigration Residential Housing,Perth IRH,2010-04-16T00:00:00Z,4,3,12
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-04-16T00:00:00Z,10,10,33
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-04-16T00:00:00Z,7,7,31
Community Detention (Mainland),,2010-04-16T00:00:00Z,10,,4
Community Detention (Christmas Island),,2010-04-16T00:00:00Z,2,2,3
Alternative Temporary Detention in the Community (Mainland),,2010-04-16T00:00:00Z,39,,23
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-04-16T00:00:00Z,287,94,207
Villawood IDC,Villawood IDC,2010-04-02T00:00:00Z,213,20,
Northern IDC (Darwin),Northern IDC,2010-04-02T00:00:00Z,74,,
Maribyrnong IDC,Maribyrnong IDC,2010-04-02T00:00:00Z,50,16,
Perth IDC,Perth IDC,2010-04-02T00:00:00Z,47,,
Christmas Island IDC,north west point immigration facility,2010-04-02T00:00:00Z,1550,,
Sydney Immigration Residential Housing,Sydney IRH,2010-04-02T00:00:00Z,14,2,2
Perth Immigration Residential Housing,Perth IRH,2010-04-02T00:00:00Z,4,4,12
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-04-02T00:00:00Z,7,9,34
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-04-02T00:00:00Z,8,6,36
Community Detention (Mainland),,2010-04-02T00:00:00Z,13,1,6
Community Detention (Christmas Island),,2010-04-02T00:00:00Z,2,2,3
Alternative Temporary Detention in the Community (Mainland),,2010-04-02T00:00:00Z,20,1,19
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-04-02T00:00:00Z,261,90,160
Villawood IDC,Villawood IDC,2010-03-26T00:00:00Z,118,17,
Northern IDC (Darwin),Northern IDC,2010-03-26T00:00:00Z,63,,
Maribyrnong IDC,Maribyrnong IDC,2010-03-26T00:00:00Z,50,17,
Perth IDC,Perth IDC,2010-03-26T00:00:00Z,49,,
Christmas Island IDC,north west point immigration facility,2010-03-26T00:00:00Z,1577,,
Sydney Immigration Residential Housing,Sydney IRH,2010-03-26T00:00:00Z,15,2,2
Perth Immigration Residential Housing,Perth IRH,2010-03-26T00:00:00Z,5,4,11
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-03-26T00:00:00Z,14,16,41
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-03-26T00:00:00Z,6,5,43
Community Detention (Mainland),,2010-03-26T00:00:00Z,12,1,6
Community Detention (Christmas Island),,2010-03-26T00:00:00Z,2,2,3
Alternative Temporary Detention in the Community (Mainland),,2010-03-26T00:00:00Z,18,1,20
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-03-26T00:00:00Z,197,68,119
Villawood IDC,Villawood IDC,2010-03-12T00:00:00Z,113,19,
Northern IDC (Darwin),Northern IDC,2010-03-12T00:00:00Z,48,,
Maribyrnong IDC,Maribyrnong IDC,2010-03-12T00:00:00Z,42,13,
Perth IDC,Perth IDC,2010-03-12T00:00:00Z,30,,
Christmas Island IDC,north west point immigration facility,2010-03-12T00:00:00Z,1546,,
Sydney Immigration Residential Housing,Sydney IRH,2010-03-12T00:00:00Z,15,3,2
Perth Immigration Residential Housing,Perth IRH,2010-03-12T00:00:00Z,8,3,6
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-03-12T00:00:00Z,11,14,14
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-03-12T00:00:00Z,6,7,30
Community Detention (Mainland),,2010-03-12T00:00:00Z,13,1,6
Community Detention (Christmas Island),,2010-03-12T00:00:00Z,2,2,3
Alternative Temporary Detention in the Community (Mainland),,2010-03-12T00:00:00Z,18,,15
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-03-12T00:00:00Z,118,47,152
Villawood IDC,Villawood IDC,2010-03-05T00:00:00Z,122,23,
Northern IDC (Darwin),Northern IDC,2010-03-05T00:00:00Z,41,,
Maribyrnong IDC,Maribyrnong IDC,2010-03-05T00:00:00Z,33,8,
Perth IDC,Perth IDC,2010-03-05T00:00:00Z,29,,
Christmas Island IDC,north west point immigration facility,2010-03-05T00:00:00Z,1504,,
Sydney Immigration Residential Housing,Sydney IRH,2010-03-05T00:00:00Z,16,5,2
Perth Immigration Residential Housing,Perth IRH,2010-03-05T00:00:00Z,8,1,3
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-03-05T00:00:00Z,8,9,6
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-03-05T00:00:00Z,3,1,28
Community Detention (Mainland),,2010-03-05T00:00:00Z,13,1,6
Community Detention (Christmas Island),,2010-03-05T00:00:00Z,2,2,3
Alternative Temporary Detention in the Community (Mainland),,2010-03-05T00:00:00Z,12,3,14
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-03-05T00:00:00Z,94,57,146
Villawood IDC,Villawood IDC,2010-02-26T00:00:00Z,140,31,
Northern IDC (Darwin),Northern IDC,2010-02-26T00:00:00Z,33,,
Maribyrnong IDC,Maribyrnong IDC,2010-02-26T00:00:00Z,36,10,
Perth IDC,Perth IDC,2010-02-26T00:00:00Z,21,2,
Christmas Island IDC,north west point immigration facility,2010-02-26T00:00:00Z,1453,,
Sydney Immigration Residential Housing,Sydney IRH,2010-02-26T00:00:00Z,17,5,2
Perth Immigration Residential Housing,Perth IRH,2010-02-26T00:00:00Z,7,1,5
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-02-26T00:00:00Z,4,5,11
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-02-26T00:00:00Z,4,1,20
Community Detention (Mainland),,2010-02-26T00:00:00Z,13,1,6
Community Detention (Christmas Island),,2010-02-26T00:00:00Z,2,2,3
Alternative Temporary Detention in the Community (Mainland),,2010-02-26T00:00:00Z,2,1,8
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-02-26T00:00:00Z,103,53,154
Villawood IDC,Villawood IDC,2010-02-19T00:00:00Z,143,29,
Northern IDC (Darwin),Northern IDC,2010-02-19T00:00:00Z,36,,
Maribyrnong IDC,Maribyrnong IDC,2010-02-19T00:00:00Z,65,18,
Perth IDC,Perth IDC,2010-02-19T00:00:00Z,21,3,
Christmas Island IDC,north west point immigration facility,2010-02-19T00:00:00Z,1418,,
Sydney Immigration Residential Housing,Sydney IRH,2010-02-19T00:00:00Z,18,5,2
Perth Immigration Residential Housing,Perth IRH,2010-02-19T00:00:00Z,8,3,2
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-02-19T00:00:00Z,4,6,18
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-02-19T00:00:00Z,5,2,32
Community Detention (Mainland),,2010-02-19T00:00:00Z,13,1,6
Community Detention (Christmas Island),,2010-02-19T00:00:00Z,2,2,3
Alternative Temporary Detention in the Community (Mainland),,2010-02-19T00:00:00Z,14,2,13
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-02-19T00:00:00Z,97,51,143
Villawood IDC,Villawood IDC,2010-02-12T00:00:00Z,123,14,
Northern IDC (Darwin),Northern IDC,2010-02-12T00:00:00Z,40,,
Maribyrnong IDC,Maribyrnong IDC,2010-02-12T00:00:00Z,37,8,
Perth IDC,Perth IDC,2010-02-12T00:00:00Z,27,3,
Christmas Island IDC,north west point immigration facility,2010-02-12T00:00:00Z,1427,,
Sydney Immigration Residential Housing,Sydney IRH,2010-02-12T00:00:00Z,20,5,2
Perth Immigration Residential Housing,Perth IRH,2010-02-12T00:00:00Z,8,,3
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-02-12T00:00:00Z,6,6,18
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-02-12T00:00:00Z,3,1,15
