Nationality,Code,Date,Female,Male,Child-Female,Child-Male
Afghanistan,AF,2011-09-30T00:00:00Z,13,1250,4,155
Iran,IR,2011-09-30T00:00:00Z,119,821,40,67
Sri Lanka,LK,2011-09-30T00:00:00Z,17,429,14,14
Indonesia,ID,2011-09-30T00:00:00Z,1,350,0,37
Iraq,IQ,2011-09-30T00:00:00Z,7,174,2,6
"China, Peoples Republic Of",CN,2011-09-30T00:00:00Z,37,111,0,0
Vietnam,VN,2011-09-30T00:00:00Z,8,47,20,26
Pakistan,PK,2011-09-30T00:00:00Z,3,79,0,6
Burma,MM,2011-09-30T00:00:00Z,0,33,0,1
Palestinian Authority,PS,2011-09-30T00:00:00Z,3,9,11,6
Other,,2011-09-30T00:00:00Z,44,451,7,24
Afghanistan,AF,2011-07-31T00:00:00Z,26,1411,8,179
Iran,IR,2011-07-31T00:00:00Z,240,948,100,146
Sri Lanka,LK,2011-07-31T00:00:00Z,84,525,48,53
Iraq,IQ,2011-07-31T00:00:00Z,49,277,30,50
Indonesia,ID,2011-07-31T00:00:00Z,2,341,,35
Vietnam,VN,2011-07-31T00:00:00Z,10,40,27,51
"China, Peoples Republic Of",CN,2011-07-31T00:00:00Z,33,84,,
Pakistan,PK,2011-07-31T00:00:00Z,2,68,,4
Burma,MM,2011-07-31T00:00:00Z,,41,,1
Palestinian Authority,PS,2011-07-31T00:00:00Z,3,10,11,6
Other,,2011-07-31T00:00:00Z,124,590,44,79
Afghanistan,AF,2011-05-20T00:00:00Z,33,1833,18,255
Iran,IR,2011-05-20T00:00:00Z,268,1053,117,162
Sri Lanka,LK,2011-05-20T00:00:00Z,85,589,46,53
Iraq,IQ,2011-05-20T00:00:00Z,69,393,44,67
Indonesia,ID,2011-05-20T00:00:00Z,2,306,,47
Vietnam,VN,2011-05-20T00:00:00Z,10,39,27,60
Burma,MM,2011-05-20T00:00:00Z,,93,,2
"China, Peoples Republic Of",CN,2011-05-20T00:00:00Z,19,66,1,
Pakistan,PK,2011-05-20T00:00:00Z,,70,,4
Kuwait,KW,2011-05-20T00:00:00Z,1,20,,2
Other,,2011-05-20T00:00:00Z,141,557,70,107
Afghanistan,AF,2011-04-15T00:00:00Z,36,1916,23,283
Iran,IR,2011-04-15T00:00:00Z,259,985,111,146
Sri Lanka,LK,2011-04-15T00:00:00Z,70,555,36,36
Iraq,IQ,2011-04-15T00:00:00Z,69,397,42,69
Indonesia,ID,2011-04-15T00:00:00Z,2,293,,43
"China, Peoples Republic Of",CN,2011-04-15T00:00:00Z,24,75,1,
Burma,MM,2011-04-15T00:00:00Z,,74,,3
Vietnam,VN,2011-04-15T00:00:00Z,6,31,10,24
Pakistan,PK,2011-04-15T00:00:00Z,,61,,2
Kuwait,KW,2011-04-15T00:00:00Z,1,18,,2
Other,,2011-04-15T00:00:00Z,162,790,83,134
Afghanistan,AF,2011-11-03T00:00:00Z,36,1903,22,306
Iran,IR,2011-11-03T00:00:00Z,240,910,100,143
Sri Lanka,LK,2011-11-03T00:00:00Z,71,571,37,36
Iraq,IQ,2011-11-03T00:00:00Z,67,419,38,69
Indonesia,ID,2011-11-03T00:00:00Z,,302,,49
"China, Peoples Republic Of",CN,2011-11-03T00:00:00Z,28,91,,
Burma,MM,2011-11-03T00:00:00Z,,77,,1
Pakistan,PK,2011-11-03T00:00:00Z,,55,,2
Vietnam,VN,2011-11-03T00:00:00Z,6,24,2,3
Kuwait,KW,2011-11-03T00:00:00Z,1,25,,3
Other,,2011-11-03T00:00:00Z,169,794,89,130
Afghanistan,AF,2011-02-18T00:00:00Z,37,1940,22,332
Iran,IR,2011-02-18T00:00:00Z,221,837,97,131
Sri Lanka,LK,2011-02-18T00:00:00Z,69,558,39,36
Iraq,IQ,2011-02-18T00:00:00Z,67,424,39,70
Indonesia,ID,2011-02-18T00:00:00Z,,280,,49
"China, Peoples Republic Of",CN,2011-02-18T00:00:00Z,17,104,,
Burma,MM,2011-02-18T00:00:00Z,,78,,4
Pakistan,PK,2011-02-18T00:00:00Z,,52,,2
Vietnam,VN,2011-02-18T00:00:00Z,5,27,2,3
Kuwait,KW,2011-02-18T00:00:00Z,1,25,,3
Other,,2011-02-18T00:00:00Z,169,807,89,122
Afghanistan,AF,2011-01-21T00:00:00Z,37,2029,22,344
Iran,IR,2011-01-21T00:00:00Z,211,806,95,127
Sri Lanka,LK,2011-01-21T00:00:00Z,69,565,38,36
Iraq,IQ,2011-01-21T00:00:00Z,68,425,39,69
Indonesia,ID,2011-01-21T00:00:00Z,1,289,,46
"China, Peoples Republic Of",CN,2011-01-21T00:00:00Z,16,76,,
Burma,MM,2011-01-21T00:00:00Z,1,82,1,5
Pakistan,PK,2011-01-21T00:00:00Z,,48,,2
Vietnam,VN,2011-01-21T00:00:00Z,5,26,2,3
Kuwait,KW,2011-01-21T00:00:00Z,1,25,,3
Other,,2011-01-21T00:00:00Z,176,774,91,122
Afghanistan,AF,2010-12-17T00:00:00Z,31,1979,18,357
